year,revenue,cogs,operating_income,interest_expense,income_tax_expense,net_income,diluted_shares,cash,short_term_debt,long_term_debt,accounts_receivable,inventories,accounts_payable,goodwill,equity_method_investments,shareholders_equity,operating_cash_flow,capex,depreciation_amortisation
2021,38655,15357,10308,1597,2621,9771,4340,10025,4645,38116,3512,3414,4602,19363,17598,22999,12625,1367,1452
2022,43004,18000,10909,882,2115,9542,4350,9825,2772,36377,3487,4233,5307,18782,18264,24105,11018,1484,1260
2023,45754,18520,11311,1527,2249,10714,4339,9692,6517,35547,3410,4424,5590,18358,19671,25941,11599,1852,1128
2024,47061,18324,9992,1656,2437,10631,4320,11488,2147,42375,3569,4728,5468,18139,18087,24856,6805,2064,1075
2025,47941,18397,13762,1654,2861,13107,4313,11010,3373,42119,3038,4425,5649,15491,20235,32169,7408,2112,1050
